ID,seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,street_name,accelerometer_y_new,accelerometer_x_new,geometry,L2_norm
163,69,44.940074,-93.168722,2025-02-19T21:41:12Z,-0.04514,Grand Avenue East,0.024416,0.081207,"c(NA, NA)",0.09606423634735249
164,70,44.940073,-93.168574,2025-02-19T21:41:13Z,-0.37338,Grand Avenue East,-0.084275,0.190083,"c(NA, NA)",0.4273715560422804
165,71,44.940075,-93.168428,2025-02-19T21:41:14Z,-0.707896,Grand Avenue East,-0.119938,0.275817,"c(NA, NA)",0.7691403565988459
166,72,44.940075,-93.168291,2025-02-19T21:41:15Z,-0.68547,Grand Avenue East,-0.043392,0.213563,"c(NA, NA)",0.7192782087155151
167,73,44.940073,-93.168166,2025-02-19T21:41:16Z,-0.580878,Grand Avenue East,-0.129036,0.138088,"c(NA, NA)",0.6108500928411159
168,74,44.940071,-93.168051,2025-02-19T21:41:17Z,-0.528894,Grand Avenue East,-0.127188,0.187194,"c(NA, NA)",0.575280144117629
169,75,44.940072,-93.167943,2025-02-19T21:41:18Z,-0.969519,Grand Avenue East,-0.087627,0.369443,"c(NA, NA)",1.0412174185726053
170,76,44.940066,-93.167845,2025-02-19T21:41:19Z,-1.048625,Grand Avenue East,-0.183367,0.550969,"c(NA, NA)",1.1986678798879196
171,77,44.940064,-93.167769,2025-02-19T21:41:20Z,-1.225197,Grand Avenue East,-0.148549,0.416199,"c(NA, NA)",1.3024577159397537
172,78,44.94006,-93.167712,2025-02-19T21:41:21Z,-0.845068,Grand Avenue East,-0.163579,0.27799,"c(NA, NA)",0.9045310685460175
173,79,44.940057,-93.167669,2025-02-19T21:41:22Z,-0.575896,Grand Avenue East,-0.069208,-0.05583,"c(NA, NA)",0.5827202922329031
174,80,44.940054,-93.167639,2025-02-19T21:41:23Z,-0.347351,Grand Avenue East,-0.051753,0.043944,"c(NA, NA)",0.35392395418507633
175,81,44.940055,-93.16762,2025-02-19T21:41:24Z,-0.034607,Grand Avenue East,0.001496,-0.109195,"c(NA, NA)",0.11455754226588487
176,82,44.940053,-93.167603,2025-02-19T21:41:25Z,0.224773,Grand Avenue East,7.53e-4,-0.124186,"c(NA, NA)",0.2567988145105035
177,1,44.940054,-93.167164,2025-02-19T21:41:56Z,0.436765,Snelling Avenue South R,0.014237,0.798976,"c(NA, NA)",0.9106750276415841
178,2,44.940046,-93.167135,2025-02-19T21:41:57Z,0.875604,Snelling Avenue South R,0.06181,0.681545,"c(NA, NA)",1.1113084306082628
179,3,44.940027,-93.167113,2025-02-19T21:41:58Z,0.975063,Snelling Avenue South R,0.050469,0.918803,"c(NA, NA)",1.3407065028331144
180,4,44.939994,-93.167093,2025-02-19T21:41:59Z,0.891478,Snelling Avenue South R,0.190825,0.239587,"c(NA, NA)",0.9426288430119248
181,5,44.939918,-93.167109,2025-02-19T21:42:00Z,0.54703,Snelling Avenue South R,0.020034,-0.098129,"c(NA, NA)",0.5561227226943708
